path|transcript|duration
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_0.wav|واش ال تزوجتي وقالك راجلك انك تجلسي من|3.71
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_1.wav|الخدمه وه يخدم تحبسي تحبسي البيزنس وكلشي|4.42
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_2.wav|شنو شنو كان يكون رد فعل ديالك هذا الراجل|3.299
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_3.wav|مايدخلش معي القبر وانا محتاجه الناس|3.541
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_4.wav|محتاجه الدعوات ديالهم محتاجه صدقه جاريه|3.34
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_5.wav|محتاجه محتاجه نكون في جنه الفردوس انا|4.1
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_6.wav|دائما كنبغي كنبغي وباقى انا خدامه ومحتاج|4.06
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_7.wav|يبقاو يدعي لي حتى نتحجب ومحتاج يدعو لي|3.099
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_8.wav|حتى ربي سبحانه وتعالى ما نبقاش عاص لانني|3.54
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_9.wav|عاصيه لاوامره ا من ا وكرهه من كرهه ما|4.301
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_10.wav|دقت طعم|2.419
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_11.wav|نعم طمانينه ولو بواحد القدر يمكن نقولك|4.741
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_12.wav|حتى لهذه اربع سنوات قبل هشي كان جهاد كان|3.26
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_13.wav|جهاد كان طيحات كانوا نضت كانوا كان الام|4.739
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_14.wav|خصك تكون|1.901
